Comment,Designator,Footprint,LCSC Part #
1k,R1 R46 R70 R93 R116 R139 R162 R185,R0805,
10k,R15 R53 R58 R69 R81 R92 R104 R115 R127 R138 R150 R161 R173 R184 R196 R207,R0805,
10nF,C2 C6 C8 C10 C12 C14 C16 C18,C0805,
100nF,C1 C5 C7 C9 C11 C13 C15 C17,C0805,
200k,R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R18 R23 R28 R33 R38 R43 R45 R47 R48 R49 R50 R51 R52 R54 R55 R56 R57 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R71 R72 R73 R74 R75 R76 R77 R78 R79 R80 R82 R83 R84 R85 R86 R87 R88 R89 R90 R91 R94 R95 R96 R97 R98 R99 R100 R101 R102 R103 R105 R106 R107 R108 R109 R110 R111 R112 R113 R114 R117 R118 R119 R120 R121 R122 R123 R124 R125 R126 R128 R129 R130 R131 R132 R133 R134 R135 R136 R137 R140 R141 R142 R143 R144 R145 R146 R147 R148 R149 R151 R152 R153 R154 R155 R156 R157 R158 R159 R160 R163 R164 R165 R166 R167 R168 R169 R170 R171 R172 R174 R175 R176 R177 R178 R179 R180 R181 R182 R183 R186 R187 R188 R189 R190 R191 R192 R193 R194 R195 R197 R198 R199 R200 R201 R202 R203 R204 R205 R206,R0805,
KT-0603R,LED1 LED3 LED4 LED5 LED6 LED7 LED8 LED9,CHIPLED_0603,
