Designator,Mid X,Mid Y,Layer,Rotation
R85,15.49,43.94,Top,0.0
R86,20.57,43.94,Top,0.0
R87,27.43,43.43,Top,270.0
R88,19.18,42.42,Top,180.0
R89,12.45,42.42,Top,0.0
R90,10.41,47.50,Top,0.0
R91,15.49,47.50,Top,0.0
R92,20.57,47.50,Top,0.0
R93,27.43,46.99,Top,270.0
R94,19.18,45.97,Top,180.0
R95,12.45,45.97,Top,0.0
R177,88.86,81.53,Top,180.0
R178,88.86,79.50,Top,180.0
R179,87.85,75.95,Top,270.0
R180,85.81,75.95,Top,90.0
R181,79.97,93.22,Top,270.0
R182,77.94,93.22,Top,270.0
R183,75.91,93.22,Top,270.0
R184,73.88,93.22,Top,270.0
R185,93.43,78.74,Top,180.0
R186,93.43,81.28,Top,180.0
R187,66.76, 3.56,Top,180.0
R188,60.41,11.94,Top,0.0
R189,65.49,11.94,Top,0.0
R190,70.57,11.94,Top,0.0
R191,77.43,11.43,Top,270.0
R192,69.18,10.41,Top,180.0
R193,62.45,10.41,Top,0.0
R194,60.41, 8.38,Top,0.0
R195,65.49, 8.38,Top,0.0
R196,70.57, 8.38,Top,0.0
R197,77.43, 7.87,Top,90.0
R198,69.18, 6.86,Top,180.0
R199,62.45, 6.86,Top,0.0
R200,60.41,15.49,Top,0.0
R201,65.49,15.49,Top,0.0
R202,70.57,15.49,Top,0.0
R203,77.43,14.99,Top,270.0
R204,69.18,13.97,Top,180.0
R205,62.45,13.97,Top,0.0
R206,60.41,19.05,Top,0.0
R207,65.49,19.05,Top,0.0
R208,70.57,19.05,Top,0.0
R209,77.43,18.54,Top,270.0
R210,69.18,17.53,Top,180.0
R211,62.45,17.53,Top,0.0
R212,60.41,22.61,Top,0.0
R213,65.49,22.61,Top,0.0
R214,70.57,22.61,Top,0.0
R215,77.43,22.10,Top,270.0
R216,69.18,21.08,Top,180.0
R217,62.45,21.08,Top,0.0
R218,60.41,26.16,Top,0.0
R219,65.49,26.16,Top,0.0
R220,70.57,26.16,Top,0.0
R221,77.43,25.65,Top,270.0
R222,69.18,24.64,Top,180.0
R223,62.45,24.64,Top,0.0
R224,60.41,29.72,Top,0.0
R225,65.49,29.72,Top,0.0
R226,70.57,29.72,Top,0.0
R227,77.43,29.21,Top,270.0
R228,69.18,28.19,Top,180.0
R229,62.45,28.19,Top,0.0
R230,60.41,33.27,Top,0.0
R231,65.49,33.27,Top,0.0
R232,70.57,33.27,Top,0.0
R233,77.43,32.77,Top,270.0
R234,69.18,31.75,Top,180.0
R235,62.45,31.75,Top,0.0
R236,60.41,36.83,Top,0.0
R237,65.49,36.83,Top,0.0
R238,70.57,36.83,Top,0.0
R239,77.43,36.32,Top,270.0
R240,69.18,35.31,Top,180.0
R241,62.45,35.31,Top,0.0
R242,60.41,40.39,Top,0.0
R243,65.49,40.39,Top,0.0
R244,70.57,40.39,Top,0.0
R245,77.43,39.88,Top,270.0
R246,69.18,38.86,Top,180.0
R247,62.45,38.86,Top,0.0
R248,60.41,43.94,Top,0.0
R249,65.49,43.94,Top,0.0
R250,70.57,43.94,Top,0.0
R251,77.43,43.43,Top,270.0
R252,69.18,42.42,Top,180.0
R253,62.45,42.42,Top,0.0
R254,60.41,47.50,Top,0.0
R255,65.49,47.50,Top,0.0
R256,70.57,47.50,Top,0.0
R257,77.43,46.99,Top,270.0
R258,69.18,45.97,Top,180.0
R259,62.45,45.97,Top,0.0
R260,72.10,51.31,Top,180.0
R261,70.32, 3.30,Top,90.0
R262,72.61, 3.30,Top,90.0
R263,93.43,76.20,Top,180.0
R264,93.43,84.07,Top,180.0
