Designator,Mid X,Mid Y,Layer,Rotation
R174,86.34,70.32,Top,180.0
R175,82.27,70.32,Top,180.0
R176,78.21,70.32,Top,180.0
R177,74.15,70.32,Top,180.0
R178,70.08,70.32,Top,180.0
R179,70.08,63.21,Top,0.0
R180,74.15,63.21,Top,0.0
R181,78.21,63.21,Top,0.0
R182,82.27,63.21,Top,0.0
R183,86.34,63.21,Top,0.0
R184,86.08,51.27,Top,180.0
R185,55.86,92.78,Top,90.0
R186,86.34,97.61,Top,180.0
R187,82.27,97.61,Top,180.0
R188,78.21,97.61,Top,180.0
R189,74.15,97.61,Top,180.0
R190,70.08,97.61,Top,180.0
R191,70.08,86.18,Top,0.0
R192,74.15,86.18,Top,0.0
R193,78.21,86.18,Top,0.0
R194,82.27,86.18,Top,0.0
R195,86.34,86.18,Top,0.0
R196,86.08,78.30,Top,180.0
R197,86.34,95.32,Top,180.0
R198,82.27,95.32,Top,180.0
R199,78.21,95.32,Top,180.0
R200,74.15,95.32,Top,180.0
R201,70.08,95.32,Top,180.0
R202,70.08,88.21,Top,0.0
R203,74.15,88.21,Top,0.0
R204,78.21,88.21,Top,0.0
R205,82.27,88.21,Top,0.0
R206,86.34,88.21,Top,0.0
R207,86.08,76.27,Top,180.0
